Ville,Type,Prix,Prix_annonce_m2,Prix_reference_m2,Décote_%,Rendement_brut,Label,Url
toulouse,Appartement,156000.0,2736.84,3507.0,21.96,0.0662,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag440414-516911339
toulouse,Appartement,310000.0,2792.79,3507.0,20.37,0.0649,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/5pieces/iad-france-2025127
toulouse,Appartement,145000.0,1724.14,3507.0,50.84,0.1051,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/5pieces/immo-facile-60148715
toulouse,Appartement,350000.0,2949.85,3507.0,15.89,0.0614,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/immo-facile-60141191
toulouse,Appartement,151900.0,1780.98,3507.0,49.22,0.1017,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/apimo-86783702
toulouse,Appartement,157500.0,2540.32,3507.0,27.56,0.0713,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/adapt-immo-31178232
toulouse,Appartement,225000.0,2586.21,3507.0,26.26,0.0701,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/safti-1-1603415
toulouse,Appartement,195000.0,3046.88,3507.0,13.12,0.0595,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-2012883
toulouse,Maison,499000.0,2921.89,4077.0,28.33,0.0522,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/7pieces/iad-france-2011271
toulouse,Appartement,141700.0,2904.88,3507.0,17.17,0.0624,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/citya-immobilier-00178-TAPP965601
toulouse,Maison,525000.0,3000.0,4077.0,26.42,0.0508,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/guy-hoquet-immo-facile-7429502
toulouse,Appartement,110000.0,1911.38,3507.0,45.5,0.0948,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/century-21-202_1052_121031
toulouse,Appartement,150000.0,2213.04,3507.0,36.9,0.0819,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-2009409
toulouse,Appartement,199000.0,2842.86,3507.0,18.94,0.0637,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-immobilier-9753-TAPP962159
toulouse,Appartement,160000.0,2666.67,3507.0,23.96,0.0679,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag314544-513137846
toulouse,Appartement,165000.0,2522.55,3507.0,28.07,0.0718,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/immo-facile-59987225
toulouse,Appartement,265000.0,3154.76,3507.0,10.04,0.0574,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/ag060811-512128013
toulouse,Appartement,209500.0,2508.98,3507.0,28.46,0.0722,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/citya-immobilier-00178-TAPP965450
toulouse,Appartement,175000.0,2573.53,3507.0,26.62,0.0704,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/ag440414-511627370
toulouse,Maison,483000.0,3018.75,4077.0,25.96,0.0505,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/maison/5pieces/adapt-immo-31232105416
toulouse,Maison,320000.0,3650.47,4077.0,10.46,0.0417,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/netty-company34235ort-house-1842
toulouse,Maison,474000.0,2618.78,4077.0,35.77,0.0582,Décote >20%,https://www.bienici.com/annonce/vente de prestige/toulouse/maison/6pieces/laforet-immo-facile-21742889
toulouse,Maison,410000.0,3388.43,4077.0,16.89,0.045,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/maison/4pieces/ag440414-510561557
toulouse,Appartement,224000.0,2763.73,3507.0,21.19,0.0656,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/citya-immobilier-00178-TAPP964879
toulouse,Appartement,142500.0,2456.9,3507.0,29.94,0.0738,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1993065
toulouse,Appartement,140000.0,2978.72,3507.0,15.06,0.0608,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/2pieces/iad-france-1992130
toulouse,Appartement,153000.0,3020.13,3507.0,13.88,0.06,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-immobilier-00178-TAPP964427
toulouse,Appartement,183000.0,2497.95,3507.0,28.77,0.0725,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/century-21-202_3118_30119
toulouse,Appartement,179500.0,2991.67,3507.0,14.69,0.0606,Décote >10%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/iad-france-1992830
toulouse,Appartement,169000.0,2139.24,3507.0,39.0,0.0847,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/4pieces/hektor-82_TOWER2022-12284
toulouse,Appartement,209000.0,2204.64,3507.0,37.14,0.0822,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/5pieces/iad-france-1991386
toulouse,Appartement,164000.0,2670.57,3507.0,23.85,0.0679,Décote >20%,https://www.bienici.com/annonce/vente/toulouse/appartement/3pieces/citya-immobilier-00178-TAPP964309
